screen_id,screen_title,screen_type,source_file,container_or_selector,unit_count,manual_review
FL-00,Module chrome (outside any .screen),Chrome,index.html (head) + script.js (shared fallback),n/a,2,
FL-01,פתיחה — בחירת 'מתחילים',TransitionScreen,index.html,".screen[data-screen=""1""]",3,
FL-02,"וידאו — לילה שקט, הבהוב פנסים",VideoWatchAndContinue,index.html,".screen[data-screen=""2""]",14,
FL-03,הסבר — המורה מציעה לחקור,TransitionScreen,index.html,".screen[data-screen=""3""]",3,
FL-04,לוח רעיונות — 7 דמויות (RevealTilesGroup),RevealTilesGroup,index.html,".screen[data-screen=""4""]",32,
FL-05,וידאו — סינון השערות,VideoWatchAndContinue,index.html,".screen[data-screen=""5""]",12,
FL-06,שאלה 1 — טבלת מיון מדעי/לא מדעי,TwoOptionSelection,index.html + script.js,".screen[data-screen=""6""]",37,
FL-07,וידאו — יציאה למשימת חקר,VideoWatchAndContinue,index.html,".screen[data-screen=""7""]",15,
FL-08,מסך וידאו רקע,TransitionScreen,index.html,".screen[data-screen=""8""]",6,
FL-09,"נתוני קבוצה א' (הקשר, ללא שאלה)",TransitionScreen,index.html,".screen[data-screen=""9""]",4,
FL-10,שאלה 2 — השערת הברקים,SingleChoiceQuestion,index.html + script.js,".screen[data-screen=""10""]",19,
FL-11,וידאו — השערת נורה מתחממת,VideoWatchAndContinue,index.html,".screen[data-screen=""11""]",15,
FL-12,סימולציה — נורה מתחממת (LIGHT_BOLB),EmbeddedApp/MeasurementWidget,index.html + assets/app/LIGHT_BOLB.html,".screen[data-screen=""12""] iframe.sim-tablet-app",33,
FL-13,שאלה 3.א — גרף טמפרטורה,SingleChoiceQuestion,index.html + script.js,".screen[data-screen=""13""]",22,
FL-14,שאלה 3.ב,SingleChoiceQuestion,index.html + script.js,".screen[data-screen=""14""]",22,
FL-15,שאלה 3.ג,SingleChoiceQuestion,index.html + script.js,".screen[data-screen=""15""]",22,
FL-16,שאלה 3.ד,SingleChoiceQuestion,index.html + script.js,".screen[data-screen=""16""]",21,
FL-17,וידאו — השערת חיבור רופף,VideoWatchAndContinue,index.html,".screen[data-screen=""17""]",14,
FL-18,סימולציה — חיבור רופף בלוח החשמל (LOOSE_CONNECTION),EmbeddedApp,index.html + assets/app/LOOSE_CONNECTION.html,".screen[data-screen=""18""] iframe.sim-tablet-app",11,
FL-19,שאלה 4.א — רב-בחירה,MultipleChoiceQuestion,index.html + script.js,".screen[data-screen=""19""]",27,
FL-20,שאלה 4.ב,SingleChoiceQuestion,index.html + script.js,".screen[data-screen=""20""]",22,
FL-21,כרטיסיות קבוצות — ממצאי שלוש הקבוצות,FlipCardsReveal,index.html,".screen[data-screen=""21""]",29,
FL-22,שאלה 5 — רב-בחירה,MultipleChoiceQuestion,index.html + script.js,".screen[data-screen=""22""]",22,
FL-23,שאלה 6,SingleChoiceQuestion,index.html + script.js,".screen[data-screen=""23""]",17,
FL-24,מסך מעבר — דיווח לחברת החשמל,TransitionScreen,index.html,".screen[data-screen=""24""]",4,
FL-25,וידאו — סיכום תהליך החקר,VideoWatchAndContinue,index.html,".screen[data-screen=""25""]",15,
FL-26,שאלה 7 — מהו חקר מדעי (רב-בחירה),MultipleChoiceQuestion,index.html + script.js,".screen[data-screen=""26""]",21,
FL-27,שאלה 8 — סדר שלבי התהליך (גרירה),DragAndDropQuestion,index.html + script.js,".screen[data-screen=""27""]",39,
FL-28,שאלה 9,SingleChoiceQuestion,index.html + script.js,".screen[data-screen=""28""]",17,
FL-29,מסך סיום,TransitionScreen,index.html,".screen[data-screen=""29""]",7,
